epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,3400.68,1.10962,0.85479,1.1012,0.7712,0.57851,0.67312,0.42457,0.9772,1.14871,0.9422,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3446.77,1.09995,0.8554,1.10261,0.71463,0.61237,0.66134,0.41816,0.97443,1.15316,0.94197,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3491.73,1.09872,0.84949,1.1009,0.7441,0.59339,0.65844,0.4196,0.97845,1.026,0.945,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3536.51,1.09142,0.83242,1.0932,0.72113,0.61094,0.6651,0.41633,0.97622,1.02234,0.94194,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3580.45,1.09162,0.83598,1.09495,0.7327,0.60752,0.66931,0.419,0.96988,1.0451,0.94171,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3624.73,1.08609,0.8436,1.09123,0.74854,0.58422,0.66438,0.421,0.96778,0.97471,0.94477,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3670.9,1.07413,0.83129,1.08656,0.74537,0.59063,0.66904,0.42262,0.96448,1.02544,0.94287,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3716.86,1.06886,0.81676,1.08316,0.76933,0.57992,0.66642,0.42323,0.95917,0.99383,0.94144,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3761.71,1.0706,0.82523,1.08755,0.71115,0.62201,0.67278,0.42718,0.95179,1.0586,0.93227,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3805.68,1.06034,0.80716,1.08185,0.70549,0.62572,0.66833,0.42902,0.9471,1.02938,0.9275,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
